publication_id,study_id,es_id,reference,title,year,location,domain,intervention_category,intervention_technique,type_experiment,population,n_study,n_comparison,n_control,n_intervention,binary_outcome,mean_control,sd_control,mean_intervention,sd_intervention,cohens_d,variance_d,approximation,wansink
211,330,439,Zikmund-Fisher et al. (2011),"""I'll do what they did"": Social norm information and cancer treatment decisions.",2011,1,health,information,social_reference,artefactual_field,1,1119,746,373,373,1,0.269,NA,0.387,NA,0.2523,0.0054,1,0
125,203,270,Mertens et al. (2020),"This way, please: Uncovering the directional effects of attribute translations on decision making",2020,0,environment,information,translation,artefactual_field,1,345,164,79,85,1,0.4976636,NA,0.6220044,NA,0.2512,0.0246,0,0
55,90,121,Dos Santos et al. (2019),Impact of nudging intervention and factors associated with vegetable dish choice among European adolescents,2019,0,food,assistance,reminder,framed_field,0,81,81,39,42,1,0.1026,NA,0.1905,NA,0.2512,0.0498,0,0
83,138,182,Hershfield et al. (2014),National differences in environmental concern and performance are predicted by country age,2014,1,environment,information,translation,artefactual_field,1,308,308,157,151,0,9.84,12.72,13.13,13.83,0.2478,0.0131,0,0
130,209,282,Munoz et al. (2017),The impact of phone calls on follow-up rates in an online depression prevention study,2017,1,health,assistance,reminder,artefactual_field,1,63,63,34,29,1,0.5098,NA,0.6321333,NA,0.2478,0.0644,0,0
42,72,93,Chen et al. (2016),Beware of popular kids bearing gifts: A framed field experiment,2016,0,pro-social,structure,consequence,artefactual_field,0,231,231,140,91,0,1.19,1.14,1.46,1.01,0.2475,0.0183,0,0
60,104,136,Faralla et al. (2017),Framing effects in intertemporal choice: A nudge experiment,2017,0,finance,information,translation,conventional_lab,1,68,68,34,34,1,0.26,NA,0.16,NA,0.2471,0.0593,1,0
41,71,92,Chapman et al. (2010),Opting in vs opting out of influenza vaccination,2010,1,health,structure,default,natural_field,1,478,478,239,239,1,0.33,NA,0.45,NA,0.2467,0.0084,0,0
191,299,401,Van Dalen & Henkens (2014),Comparing the effects of defaults on organ donation systems,2014,0,pro-social,structure,default,artefactual_field,1,1507,979,466,513,1,0.5,NA,0.62,NA,0.2424,0.0041,0,0
7,7,10,Arana & Leon (2012),Can defaults save the climate? Evidence from a field experiment on carbon offsetting programs,2012,0,environment,structure,default,natural_field,1,1680,1680,856,824,1,0.45,NA,0.57,NA,0.2406,0.0024,0,0
173,269,362,Soon et al. (2018),Effect of two behavioural 'nudging' interventions on management decisions for low back pain: A randomised vignette-based study in general practitioners,2018,0,health,structure,composition,artefactual_field,1,120,59,30,29,1,0.425,NA,0.31,NA,0.2392,0.0683,0,0
203,318,424,Wansink et al. (2017),Larger partitions lead to larger sales: Divided grocery carts alter purchase norms and increase sales,2017,0,food,structure,composition,framed_field,1,83,57,26,31,0,8.77,4.39,9.92,5.22,0.2366,0.0712,0,1
36,64,85,Carroll et al. (2018),Food bundling as a health nudge: Investigating consumer fruit and vegetable selection using behavioral economics,2018,1,food,structure,composition,artefactual_field,1,122,122,61,61,0,48.64,21.77,54.5,27.58,0.2359,0.033,1,0
12,15,19,Banks et al. (1995),The effects of message framing on mammography utilization,1995,1,health,information,translation,framed_field,1,133,133,68,65,1,0.338,NA,0.453,NA,0.2358,0.0303,0,0
17,30,34,BETA (2017),Effective use of SMS: Improving government confirmation processes,2017,0,other,information,visibility,natural_field,1,2852,2852,1437,1415,1,0.419,NA,0.306,NA,0.2357,0.0014,0,0
211,331,440,Zikmund-Fisher et al. (2011),"""I'll do what they did"": Social norm information and cancer treatment decisions.",2011,1,health,information,social_reference,artefactual_field,1,1119,746,373,373,1,0.454,NA,0.34,NA,0.2336,0.0054,1,0
190,298,399,Van Bavel et al. (2019),Using protection motivation theory in the design of nudges to improve online security behavior,2019,0,other,assistance,reminder,artefactual_field,1,2024,1011,507,504,0,34.41,13.33,31.44,12.32,0.2314,0.004,0,0
155,243,330,Ruback et al. (2014),Paying restitution: Experimental analysis of the effects of information and rationale,2014,1,finance,information,visibility,natural_field,1,397,397,219,178,0,247.647,797.884,651.844,2465.438,0.2305,0.0103,0,0
34,59,80,Capraro et al. (2018),What's the right thing to do? Increasing pro-sociality with simple moral nudges,2018,1,pro-social,assistance,reminder,artefactual_field,1,900,900,450,450,0,16.6,NA,26.1,NA,0.2201,0.0045,1,0
47,78,100,D'Adda et al. (2017),"Push, don't nudge: Behavioral spillovers and policy instruments",2017,1,pro-social,information,social_reference,artefactual_field,1,445,283,130,153,0,5.338,5.361,6.458,5.018,0.2163,0.0143,0,0
15,27,31,Basu & Savani (2017),Choosing one at a time? Presenting options simultaneously helps people make more optimal decisions than presenting options sequentially,2017,1,finance,structure,composition,artefactual_field,1,472,472,236,236,0,54.87,28.84,61.34,31.42,0.2145,0.0085,1,0
114,189,245,Maas et al. (2011),Do distant foods decrease intake? The effect of food accessibility on consumption,2011,0,food,structure,effort,conventional_lab,1,54,36,19,17,0,12.53,11.49,9.53,16.5,0.2132,0.1121,0,0
97,165,216,Kesternich et al. (2019),The power of active choice: Field experimental evidence on repeated contribution decisions to a carbon offsetting program,2019,0,environment,structure,default,natural_field,1,9733,9733,4838,4895,1,0.177,NA,0.265,NA,0.213,0.0004,0,0
134,215,289,Niven et al. (2019),Effects of health star labelling on the healthiness of adults' fast food meal selections: An experimental study,2019,0,food,information,visibility,artefactual_field,1,1007,503,252,251,0,3.68,3.887635,2.88,3.637419,0.2125,0.008,0,0
184,291,389,Theotokis & Manganari (2015),The impact of choice architecture on consumer behavior: The role of guilt,2015,0,environment,structure,default,conventional_lab,1,107,71,35,36,1,0.7,NA,0.79,NA,0.2072,0.0567,1,0
211,332,441,Zikmund-Fisher et al. (2011),"""I'll do what they did"": Social norm information and cancer treatment decisions.",2011,1,health,information,social_reference,artefactual_field,1,1077,718,359,359,1,0.266,NA,0.359,NA,0.2011,0.0056,1,0
164,257,346,Sharif & Shu (2021),Nudging persistence after failure through emergency reserves,2021,1,other,structure,consequence,artefactual_field,1,797,797,392,405,0,1.51,1.22,1.76,1.34,0.1949,0.005,0,0
33,55,74,Camilleri & Larrick (2014),Metric and scale design as choice architecture tools,2014,1,environment,information,translation,artefactual_field,1,484,322,161,161,1,0.473,NA,0.57,NA,0.1945,0.0125,1,0
108,180,234,Libotte et al. (2014),The influence of plate size on meal composition. Literature review and experiment,2014,0,food,structure,default,conventional_lab,1,83,83,42,41,0,3644,1376,3940,1665,0.194,0.0484,0,0
114,189,246,Maas et al. (2011),Do distant foods decrease intake? The effect of food accessibility on consumption,2011,0,food,structure,effort,conventional_lab,1,54,37,19,18,0,12.53,11.49,9.94,16.09,0.1861,0.1087,0,0
60,105,137,Faralla et al. (2017),Framing effects in intertemporal choice: A nudge experiment,2017,0,finance,information,translation,conventional_lab,1,241,241,121,120,1,0.43,NA,0.34,NA,0.1853,0.0167,1,0
150,237,322,Roberto et al. (2010),Evaluating the impact of menu labeling on food choices and intake,2010,1,food,information,visibility,artefactual_field,1,295,191,95,96,0,1458.92,724.62,1334.72,620.65,0.1842,0.021,0,0
145,229,309,Putnam-Farr & Riis (2016),"""Yes/no/not right now"": Yes/no response formats can increase response rates even in non-forced-choice settings",2016,1,health,structure,default,natural_field,1,14939,14939,6377,8562,1,0.032,NA,0.072,NA,0.1836,0.0003,0,0
33,54,75,Camilleri & Larrick (2014),Metric and scale design as choice architecture tools,2014,1,environment,information,translation,artefactual_field,1,424,283,142,141,1,0.672,NA,0.751,NA,0.1747,0.0142,1,0
60,106,138,Faralla et al. (2017),Framing effects in intertemporal choice: A nudge experiment,2017,0,finance,information,translation,conventional_lab,1,135,135,68,67,1,0.24,NA,0.17,NA,0.174,0.0297,1,0
164,258,347,Sharif & Shu (2021),Nudging persistence after failure through emergency reserves,2021,1,other,structure,consequence,artefactual_field,1,600,600,302,298,1,0.652,NA,0.732,NA,0.1736,0.0067,0,0
70,122,157,Gomez et al. (2016),The attraction effect in mid-involvement categories: An experimental economics approach,2016,0,other,structure,composition,conventional_lab,1,100,100,50,50,1,0.5354331,NA,0.6206897,NA,0.1729,0.0401,0,0
144,228,308,Pugatch & Wilson (2018),Nudging study habits: A field experiment on peer tutoring in higher education,2018,1,other,assistance,reminder,natural_field,1,639,639,327,312,1,0.29,NA,0.37,NA,0.1704,0.0063,0,0
211,331,442,Zikmund-Fisher et al. (2011),"""I'll do what they did"": Social norm information and cancer treatment decisions.",2011,1,health,information,social_reference,artefactual_field,1,1119,746,373,373,1,0.454,NA,0.539,NA,0.1702,0.0054,1,0
196,305,408,Veldwijk et al. (2016),Survival or mortality: Does risk attribute framing influence decision-making behavior in a discrete choice experiment?,2016,0,health,information,translation,artefactual_field,1,1045,1045,513,532,1,0.049,NA,0.092,NA,0.1699,0.0038,0,0
44,75,96,Chou & Murnighan (2013),Life or death decisions: Framing the call for help,2013,1,pro-social,information,translation,conventional_lab,1,182,182,91,91,1,0.521,NA,0.602,NA,0.1634,0.0221,1,0
82,137,181,Hedlin & Sunstein (2016),Does active choosing promote green energy use? Experimental evidence,2016,1,environment,structure,default,artefactual_field,1,1037,1037,345,346,1,0.69,NA,0.76,NA,0.1571,0.0058,1,0
159,248,336,Saulais et al. (2016),"When are ""Dish of the Day"" nudges most effective to increase vegetable selection?",2016,0,food,assistance,reminder,framed_field,1,173,116,61,55,1,0.656,NA,0.727,NA,0.154,0.0347,0,0
112,185,239,Lofgren et al. (2012),Are experienced people affected by a pre-set default option: Results from a field experiment,2012,0,environment,structure,default,natural_field,1,240,160,80,80,1,0.393,NA,0.468,NA,0.1516,0.0251,1,0
38,66,87,Castleman & Page (2015),Summer nudging: Can personalized text messages and peer mentor outreach increase college going among low-income high school graduates?,2015,1,other,assistance,reminder,natural_field,1,746,746,373,373,1,0.628,NA,0.699,NA,0.1505,0.0054,1,0
145,230,310,Putnam-Farr & Riis (2016),"""Yes/no/not right now"": Yes/no response formats can increase response rates even in non-forced-choice settings",2016,1,health,structure,default,natural_field,1,24863,15987,8227,7760,1,0.087,NA,0.133,NA,0.1478,0.0003,0,0
181,288,383,Tasoff & Letzler (2014),Everyone believes in redemption: Nudges and overoptimism in costly task completion,2014,1,finance,assistance,reminder,conventional_lab,1,310,197,139,58,1,0.31,NA,0.38,NA,0.1474,0.0245,0,0
73,126,164,Goswami & Urminsky (2016),When should the ask be a nudge? The effect of default amounts on charitable donations,2016,1,pro-social,structure,default,conventional_lab,1,105,70,35,35,1,0.03,NA,0.06,NA,0.1468,0.0573,1,0
34,60,81,Capraro et al. (2018),What's the right thing to do? Increasing pro-sociality with simple moral nudges,2018,1,pro-social,assistance,reminder,artefactual_field,1,900,900,450,450,0,11.7,NA,17.9,NA,0.1458,0.0045,1,0
95,158,211,Keller et al. (2011),Enhanced active choice: A new method to motivate behavior change,2011,1,health,structure,default,artefactual_field,1,110,56,28,28,1,0.45,NA,0.52,NA,0.1402,0.0716,1,0
95,158,212,Keller et al. (2011),Enhanced active choice: A new method to motivate behavior change,2011,1,health,structure,default,artefactual_field,1,110,55,28,27,1,0.45,NA,0.52,NA,0.1402,0.0729,1,0
125,202,271,Mertens et al. (2020),"This way, please: Uncovering the directional effects of attribute translations on decision making",2020,0,environment,information,translation,artefactual_field,1,356,188,104,84,1,0.5053667,NA,0.572697,NA,0.1352,0.0216,0,0
172,267,359,Sonntag & Zizzo (2015),"On reminder effects, drop-outs and dominance: Evidence from an online experiment on charitable giving",2015,0,pro-social,assistance,reminder,artefactual_field,1,99,66,33,33,0,0.111,NA,0.156,NA,0.1327,0.0607,1,0
73,127,165,Goswami & Urminsky (2016),When should the ask be a nudge? The effect of default amounts on charitable donations,2016,1,pro-social,structure,default,artefactual_field,1,3486,3486,819,2667,1,NA,NA,NA,NA,0.1316,0.0016,0,0
11,14,18,Bamberg (2002),Effects of implementation intention on the actual performance of new environmentally friendly behaviours - Results of two field experiments,2002,0,environment,assistance,commitment,conventional_lab,1,160,160,81,79,1,0.543,NA,0.608,NA,0.1316,0.0251,0,0
134,215,290,Niven et al. (2019),Effects of health star labelling on the healthiness of adults' fast food meal selections: An experimental study,2019,0,food,information,visibility,artefactual_field,1,1007,503,252,251,0,3.68,3.887635,3.17,3.879913,0.1313,0.008,0,0
125,203,272,Mertens et al. (2020),"This way, please: Uncovering the directional effects of attribute translations on decision making",2020,0,environment,information,translation,artefactual_field,1,345,171,79,92,1,0.4976636,NA,0.5621891,NA,0.1294,0.0236,0,0
55,91,122,Dos Santos et al. (2019),Impact of nudging intervention and factors associated with vegetable dish choice among European adolescents,2019,0,food,assistance,reminder,framed_field,0,113,113,53,60,1,0.0943,NA,0.1333,NA,0.1232,0.0356,0,0
1,1,2,Abhyankar et al. (2014),Framing options as choice or opportunity: Does the frame influence decisions?,2014,1,health,structure,default,artefactual_field,1,124,83,41,42,1,0.39,NA,0.45,NA,0.1216,0.0483,0,0
164,257,348,Sharif & Shu (2021),Nudging persistence after failure through emergency reserves,2021,1,other,structure,consequence,artefactual_field,1,797,797,392,405,0,1.83,1.58,2.03,1.73,0.1206,0.005,0,0
209,328,436,Zarghamee et al. (2017),Nudging charitable giving: Three field experiments,2017,1,pro-social,information,visibility,artefactual_field,1,70,70,36,34,0,4.28,9.13,5.32,8.76,0.1162,0.0573,0,0
134,215,291,Niven et al. (2019),Effects of health star labelling on the healthiness of adults' fast food meal selections: An experimental study,2019,0,food,information,visibility,artefactual_field,1,1007,503,252,251,0,5452,2790.188,5124,2934.184,0.1146,0.008,0,0
163,253,341,Schwartz et al. (2021),Opting-in to prosocial incentives,2021,0,other,structure,consequence,artefactual_field,1,437,437,216,221,1,0.236,NA,0.19,NA,0.1125,0.0092,0,0
50,82,111,Demarque et al. (2015),Nudging sustainable consumption: The use of descriptive norms to promote a minority behavior in a realistic online shopping environment,2015,0,environment,information,social_reference,conventional_lab,1,235,81,41,40,0,1.56,2.16,1.77,1.54,0.1117,0.0495,0,0
172,268,360,Sonntag & Zizzo (2015),"On reminder effects, drop-outs and dominance: Evidence from an online experiment on charitable giving",2015,0,pro-social,assistance,reminder,artefactual_field,1,102,68,34,34,0,0.091,NA,0.125,NA,0.1099,0.0589,1,0
163,254,342,Schwartz et al. (2021),Opting-in to prosocial incentives,2021,0,other,structure,consequence,artefactual_field,1,1266,1266,629,637,1,0.49,NA,0.436,NA,0.1084,0.0032,0,0
119,195,259,Martins & Szrek (2019),The impact of the decision environment on consumer choice of mobile service plans: An experimental examination,2019,0,other,information,translation,conventional_lab,1,355,355,178,177,0,7.56,8.48,6.69,7.59,0.1081,0.0113,1,0
18,31,36,BETA (2018),Nudge vs superbugs: A behavioural economics trial to reduce the overprescribing of antibiotics,2018,0,health,assistance,reminder,natural_field,1,3990,2657,1338,1319,0,109.7,40.8,105.5,37.7,0.1069,0.0015,0,0
118,194,258,Martin & Norton (2009),Shaping online consumer choice by partitioning the web,2009,1,other,structure,composition,conventional_lab,1,124,83,42,41,1,0.84,NA,0.8,NA,0.1043,0.0483,1,0
178,281,375,Stikvoort et al. (2016),"Thou shalt not sell nature: How taboo trade-offs can make us act pro-environmentally, to clear our conscience",2016,0,environment,structure,composition,conventional_lab,1,138,138,69,69,1,0.36,NA,0.41,NA,0.1028,0.029,0,0
89,148,197,Jin (2011),Improving response rates in web surveys with default setting: The effects of default on web survey participation and permission,2011,1,other,structure,default,artefactual_field,1,112,112,56,56,1,0.08,NA,0.11,NA,0.1026,0.0358,1,0
88,145,194,Isaksen et al. (2019),Positive framing does not solve the tragedy of the commons,2019,0,pro-social,information,translation,conventional_lab,1,48,48,32,16,0,0.18,0.34,0.21,0.16,0.1021,0.0939,0,0
115,190,247,Mann & Bryant (2019),"If you ask, they will come (to register and vote): Field experiments with state election agencies on encouraging voter registration",2019,1,other,assistance,reminder,natural_field,1,30247,12074,6028,6046,1,0.068,NA,0.094,NA,0.0956,0.0003,0,0
113,186,241,Loibl et al. (2018),Testing strategies to increase saving in individual development account programs,2018,1,finance,assistance,reminder,natural_field,1,302,302,123,179,1,0.683,NA,0.7265,NA,0.0954,0.0137,0,0
115,191,248,Mann & Bryant (2019),"If you ask, they will come (to register and vote): Field experiments with state election agencies on encouraging voter registration",2019,1,other,assistance,reminder,natural_field,1,769686,214960,30439,184521,1,0.046,NA,0.068,NA,0.0953,3.83E-05,0,0
115,191,249,Mann & Bryant (2019),"If you ask, they will come (to register and vote): Field experiments with state election agencies on encouraging voter registration",2019,1,other,assistance,reminder,natural_field,1,769686,215183,30439,184744,1,0.046,NA,0.068,NA,0.0953,3.83E-05,0,0
115,191,250,Mann & Bryant (2019),"If you ask, they will come (to register and vote): Field experiments with state election agencies on encouraging voter registration",2019,1,other,assistance,reminder,natural_field,1,769686,215371,30439,184932,1,0.046,NA,0.068,NA,0.0953,3.83E-05,0,0
145,230,311,Putnam-Farr & Riis (2016),"""Yes/no/not right now"": Yes/no response formats can increase response rates even in non-forced-choice settings",2016,1,health,structure,default,natural_field,1,24863,16636,8876,7760,1,0.103,NA,0.133,NA,0.0932,0.0002,0,0
156,244,331,Sacarny et al. (2018),Effect of peer comparison letters for high-volume primary care prescribers of quetiapine in older and disabled adults: A randomized clinical trial,2018,1,health,information,social_reference,natural_field,1,5055,5055,2528,2527,0,NA,NA,NA,NA,0.0926,0.0008,0,0
128,206,278,Miller et al. (2016),The effects of pre-ordering and behavioral nudges on national school lunch program participants' food item selection,2016,1,food,assistance,commitment,framed_field,0,133,133,98,35,1,0.711,NA,0.752,NA,0.0926,0.0388,0,0
48,79,102,Damgaard & Gravert (2017),The hidden costs of nudging: Experimental evidence from reminders in fundraising,2017,0,pro-social,assistance,reminder,natural_field,1,17391,17391,8692,8699,1,0.0214,NA,0.0367,NA,0.0919,0.0002,0,0
115,191,251,Mann & Bryant (2019),"If you ask, they will come (to register and vote): Field experiments with state election agencies on encouraging voter registration",2019,1,other,assistance,reminder,natural_field,1,769686,215489,30439,185050,1,0.046,NA,0.067,NA,0.0913,3.83E-05,0,0
136,217,296,O'Leary et al. (2015),Effectiveness and cost of bidirectional text messaging for adolescent vaccines and well care,2015,1,health,assistance,reminder,natural_field,1,4587,4587,2359,2228,1,0.103,NA,0.132,NA,0.0902,0.0009,0,0
115,190,252,Mann & Bryant (2019),"If you ask, they will come (to register and vote): Field experiments with state election agencies on encouraging voter registration",2019,1,other,assistance,reminder,natural_field,1,30247,12073,6028,6045,1,0.068,NA,0.092,NA,0.0887,0.0003,0,0
186,293,391,Thunstrom et al. (2018),Nudges that hurt those already hurting: Distributional and unintended effects of salience nudges,2018,1,other,assistance,reminder,conventional_lab,1,410,341,165,176,0,2.189,2.195,1.99,2.317,0.0881,0.0118,0,0
185,292,390,Thorndike et al. (2016),Social norms and financial incentives to promote employees' healthy food choices: A randomized controlled trial,2016,1,food,information,social_reference,framed_field,1,1711,1711,858,853,0,0.1,NA,1.8,NA,0.0877,0.0023,0,0
86,141,185,Hu et al. (2018),Engaging scientists in science communication: The effect of social proof and meaning,2018,0,other,information,social_reference,framed_field,1,2946,2946,1454,1492,1,0.01031637,NA,0.02077748,NA,0.0858,0.0014,0,0
181,288,384,Tasoff & Letzler (2014),Everyone believes in redemption: Nudges and overoptimism in costly task completion,2014,1,finance,information,social_reference,conventional_lab,1,310,193,139,54,1,0.31,NA,0.35,NA,0.0851,0.0257,0,0
127,205,275,Milkman et al. (2011),Using implementation intentions prompts to enhance influenza vaccination rates,2011,1,health,assistance,commitment,natural_field,1,3272,2538,1268,1270,1,0.331,NA,0.371,NA,0.0838,0.0016,0,0
100,169,221,Korn et al. (2018),Social nudging: The effect of social feedback interventions on vaccine uptake,2018,0,health,structure,consequence,conventional_lab,1,288,288,144,144,1,0.49,NA,0.53,NA,0.08,0.0139,0,0
110,182,236,Liu et al. (2016),The dark side of positive social influence,2016,0,health,assistance,reminder,natural_field,1,3677,3677,1910,1767,1,0.058,NA,0.078,NA,0.0797,0.0011,0,0
112,185,240,Lofgren et al. (2012),Are experienced people affected by a pre-set default option: Results from a field experiment,2012,0,environment,structure,default,natural_field,1,240,160,80,80,1,0.393,NA,0.432,NA,0.0792,0.025,1,0
13,16,20,Barnes et al. (2021),More intelligent designs: Comparing the effectiveness of choice architectures in US health insurance marketplaces,2021,1,finance,information,visibility,artefactual_field,1,2149,2149,1072,1077,1,0.325,NA,0.361,NA,0.0759,0.0019,0,0
115,190,253,Mann & Bryant (2019),"If you ask, they will come (to register and vote): Field experiments with state election agencies on encouraging voter registration",2019,1,other,assistance,reminder,natural_field,1,30247,12108,6028,6080,1,0.068,NA,0.086,NA,0.0676,0.0003,0,0
115,190,254,Mann & Bryant (2019),"If you ask, they will come (to register and vote): Field experiments with state election agencies on encouraging voter registration",2019,1,other,assistance,reminder,natural_field,1,30247,12076,6028,6048,1,0.068,NA,0.086,NA,0.0676,0.0003,0,0
94,157,206,Junger et al. (2017),Priming and warnings are not effective to prevent social engineering attacks,2017,0,other,assistance,reminder,framed_field,1,184,184,96,88,1,0.7672623,NA,0.7383333,NA,0.0671,0.0218,0,0
20,33,39,BETA (2019),Credit when it's due,2019,0,finance,assistance,reminder,natural_field,1,16030,8009,4001,4008,0,551,1759,673,2109,0.0628,0.0005,0,0
21,34,42,Bhanot (2017),Cheap promises: Evidence from loan repayment pledges in an online experiment,2017,1,finance,assistance,commitment,natural_field,1,2787,1417,729,688,1,0.56,NA,0.591,NA,0.0627,0.0028,1,0
55,92,123,Dos Santos et al. (2019),Impact of nudging intervention and factors associated with vegetable dish choice among European adolescents,2019,0,food,assistance,reminder,framed_field,0,84,84,42,42,1,0.1667,NA,0.1905,NA,0.0622,0.0476,0,0
21,34,43,Bhanot (2017),Cheap promises: Evidence from loan repayment pledges in an online experiment,2017,1,finance,assistance,commitment,natural_field,1,2787,1417,729,688,1,0.78,NA,0.805,NA,0.0617,0.0028,1,0
34,61,82,Capraro et al. (2018),What's the right thing to do? Increasing pro-sociality with simple moral nudges,2018,1,pro-social,assistance,reminder,artefactual_field,1,600,600,300,300,0,30.9,110.3864,36.8,79.05611,0.0615,0.0067,1,0
77,131,174,Hallsworth et al. (2015),Stating appointment costs in SMS reminders reduces missed hospital appointments: Findings from two randomised controlled trials,2015,0,health,information,translation,natural_field,1,5014,5014,2461,2553,1,0.082,NA,0.099,NA,0.0593,0.0008,0,0
47,78,101,D'Adda et al. (2017),"Push, don't nudge: Behavioral spillovers and policy instruments",2017,1,pro-social,structure,default,artefactual_field,1,445,292,130,162,0,5.338,5.361,5.642,4.944,0.0592,0.0139,0,0
49,80,104,De Wild et al. (2015),Influence of choice on vegetable intake in chrildren: An in-home study,2015,0,food,structure,composition,framed_field,0,70,70,36,34,0,52.1,35,54.2,36,0.0592,0.0572,0,0
72,124,159,Gopalan et al. (2014),Translating the hemoglobin A1C with more easily understood feedback: A randomized controlled trial,2014,1,health,information,translation,framed_field,1,177,119,58,61,0,-0.74,2.817836,-0.89,2.343075,0.058,0.0336,0,0
125,202,273,Mertens et al. (2020),"This way, please: Uncovering the directional effects of attribute translations on decision making",2020,0,environment,information,translation,artefactual_field,1,356,183,104,79,1,0.5053667,NA,0.534279,NA,0.0579,0.0223,0,0
9,10,13,Bacon & Krpan (2018),(Not) eating for the environment: The impact of restaurant menu design on vegetarian food choice,2018,0,food,information,social_reference,artefactual_field,1,565,379,194,185,1,0.13,NA,0.15,NA,0.0577,0.0106,0,0
211,333,443,Zikmund-Fisher et al. (2011),"""I'll do what they did"": Social norm information and cancer treatment decisions.",2011,1,health,information,social_reference,artefactual_field,1,1077,718,359,359,1,0.461,NA,0.489,NA,0.0561,0.0056,1,0
193,301,404,Van Kleef et al. (2012),Healthy snacks at the checkout counter: A lab and field study on the impact of shelf arrangement and assortment structure on consumer choice,2012,0,food,structure,effort,conventional_lab,1,158,158,79,79,1,0.2785,NA,0.3038,NA,0.0557,0.0253,0,0
38,67,88,Castleman & Page (2015),Summer nudging: Can personalized text messages and peer mentor outreach increase college going among low-income high school graduates?,2015,1,other,assistance,reminder,natural_field,1,2920,2920,1466,1454,1,0.718,NA,0.742,NA,0.0541,0.0014,1,0
50,82,112,Demarque et al. (2015),Nudging sustainable consumption: The use of descriptive norms to promote a minority behavior in a realistic online shopping environment,2015,0,environment,information,social_reference,conventional_lab,1,235,80,41,39,0,1.56,2.16,1.67,1.9,0.054,0.05,0,0
127,205,276,Milkman et al. (2011),Using implementation intentions prompts to enhance influenza vaccination rates,2011,1,health,assistance,commitment,natural_field,1,3272,2002,1268,734,1,0.331,NA,0.356,NA,0.0527,0.0022,0,0
134,215,292,Niven et al. (2019),Effects of health star labelling on the healthiness of adults' fast food meal selections: An experimental study,2019,0,food,information,visibility,artefactual_field,1,1007,505,252,253,0,5452,2790.188,5306,2982.37,0.0506,0.0079,0,0
105,176,229,Lalor & Hailey (1989),The effects of message framing and feelings of susceptibility to breast cancer on reported frequency of breast self-examination,1989,1,health,information,translation,conventional_lab,1,24,24,12,12,0,1.92,1.24,2,1.86,0.0506,0.1667,1,0
21,34,44,Bhanot (2017),Cheap promises: Evidence from loan repayment pledges in an online experiment,2017,1,finance,assistance,commitment,natural_field,1,2787,1424,729,695,1,0.56,NA,0.585,NA,0.0505,0.0028,1,0
22,35,48,BIT (2013),Applying behavioural insights to organ donation: Preliminary results from a randomised controlled trial,2013,0,pro-social,information,visibility,natural_field,1,813990,271330,135665,135665,1,0.02308315,NA,0.03124945,NA,0.0504,1.47E-05,1,0
21,34,45,Bhanot (2017),Cheap promises: Evidence from loan repayment pledges in an online experiment,2017,1,finance,assistance,commitment,natural_field,1,2787,1404,729,675,1,0.78,NA,0.8,NA,0.0491,0.0029,1,0
46,77,99,Coventry et al. (2016),Personality and social framing in privacy decision-making: A study on cookie acceptance,2016,0,other,information,social_reference,framed_field,1,290,182,88,94,1,0.78,NA,0.8,NA,0.0491,0.022,0,0
13,17,21,Barnes et al. (2021),More intelligent designs: Comparing the effectiveness of choice architectures in US health insurance marketplaces,2021,1,finance,assistance,reminder,artefactual_field,1,2397,2397,1208,1189,1,0.465,NA,0.489,NA,0.0481,0.0017,0,0
73,127,166,Goswami & Urminsky (2016),When should the ask be a nudge? The effect of default amounts on charitable donations,2016,1,pro-social,structure,default,artefactual_field,1,3486,3486,819,2667,1,NA,NA,NA,NA,0.0451,0.0016,0,0
151,238,323,Rodriguez & Saavedra (2019),The persistent effects of youth savings reminders: Experimental evidence from text-message campaigns in Colombia,2019,0,finance,assistance,reminder,natural_field,0,7795,5375,2780,2595,0,11.9196,519.8261,30.39553,291.8809,0.0434,0.0007,0,0
119,195,260,Martins & Szrek (2019),The impact of the decision environment on consumer choice of mobile service plans: An experimental examination,2019,0,other,information,translation,conventional_lab,1,355,355,178,177,1,0.31,NA,0.33,NA,0.0429,0.0113,1,0
77,132,175,Hallsworth et al. (2015),Stating appointment costs in SMS reminders reduces missed hospital appointments: Findings from two randomised controlled trials,2015,0,health,structure,effort,natural_field,1,5125,5125,2566,2559,1,0.111,NA,0.098,NA,0.0425,0.0008,0,0
211,330,444,Zikmund-Fisher et al. (2011),"""I'll do what they did"": Social norm information and cancer treatment decisions.",2011,1,health,information,social_reference,artefactual_field,1,1119,746,373,373,1,0.269,NA,0.251,NA,0.041,0.0054,1,0
100,169,222,Korn et al. (2018),Social nudging: The effect of social feedback interventions on vaccine uptake,2018,0,health,information,social_reference,conventional_lab,1,288,288,96,192,1,0.5,NA,0.52,NA,0.04,0.0156,0,0
151,238,324,Rodriguez & Saavedra (2019),The persistent effects of youth savings reminders: Experimental evidence from text-message campaigns in Colombia,2019,0,finance,assistance,reminder,natural_field,0,7795,5200,2780,2420,0,11.9196,519.8261,32.89505,553.0142,0.0392,0.0008,0,0
22,35,49,BIT (2013),Applying behavioural insights to organ donation: Preliminary results from a randomised controlled trial,2013,0,pro-social,information,social_reference,natural_field,1,813990,271330,135665,135665,1,0.02308315,NA,0.02907167,NA,0.0376,1.47E-05,1,0
